Store_ID,Store_Name,Location
1,North Chloe Store,New Ronaldville
2,Thomasland Store,Chadland
3,East Sandra Store,Michaelburgh
4,Lake Sandraside Store,New Tannerville
5,Masseyhaven Store,Gonzalezstad
6,Aimeebury Store,Masseyshire
7,Lake Brittany Store,Lake Emily
8,Rileymouth Store,Port Ericaburgh
9,Kellerstad Store,Alyssaville
10,West Chloefort Store,Wadetown
11,Meganbury Store,Maldonadoshire
12,Lake Josephbury Store,Deborahfurt
13,Lauramouth Store,Erictown
14,Cabreraville Store,Harmonmouth
15,Port Heidi Store,New Juanbury
16,Port Audreyside Store,Bellport
17,North Davidborough Store,Brittanyberg
18,South Christopherville Store,Paulchester
19,New Andrewburgh Store,North Brookemouth
20,South Jasonton Store,East Jeffrey
